Treatment,Rep,Sex,Seed,Slide,Individual,Side,Area,Mean,Min,Max,Length
P,R1,F,A,2,1,L,18888.306,156.04,98.436,192.988,2263.643
P,R2,M,A,2,1,R,18332.768,157.192,112.411,196.031,2192.409
P,R3,M,A,2,3,R,18610.537,155.234,100.667,202.353,2229.876
P,R1,M,A,1,2,R,17152.248,163.16,78.269,211.001,2052.237
P,R1,M,A,2,3,L,16735.595,159.449,96.821,205.524,2000.195
P,R3,M,A,1,3,R,18749.421,164.595,109.908,202.734,2246.645
P,R2,F,A,2,2,L,19860.498,151.207,91.987,208.842,2378.367
P,R2,F,A,1,2,R,19721.614,153.83,98.861,196.857,2359.842
P,R2,F,A,1,5,L,19582.729,157.729,106.611,198.121,2344.239
P,R1,F,A,1,2,R,19374.402,151.457,93.108,200.148,2316.871
P,R2,F,A,3,2,L,20207.71,151.045,107,189.425,2420.376
P,R2,F,A,2,5,L,19791.056,142.758,64.534,201.553,2368.229
P,R2,M,A,1,1,L,17846.671,160.325,124.339,203.153,2135.984
P,R1,F,C,3,3,L,19403.473,126.436,50.818,180.484,2324.637
P,R2,F,C,1,5,L,19542.069,133.399,77.949,177.444,2346.061
P,R1,M,C,3,1,L,17532.424,100.096,47.253,150.533,2101.236
P,R2,F,C,3,4,L,19819.262,140.139,61.234,185.54,2372.511
P,R2,M,C,1,3,L,17601.722,133.189,76.693,184.258,2108.922
P,R1,F,C,1,5,L,18571.896,119.567,68.836,161.068,2225.21
P,R2,F,C,2,3,R,19888.56,119.931,62.003,178.438,2382.523
P,R1,F,C,3,1,L,19403.473,124.976,64.113,186.735,2329.759
P,R1,M,C,1,5,L,16770.145,105.667,61.022,144.902,2011.804
P,R1,M,C,3,2,L,16770.145,104.315,51.163,147.192,2006.216
P,R2,M,C,2,3,R,18364.001,127.383,71.916,166.684,2204.623
P,R2,F,C,2,1,L,19126.281,129.743,72.169,175.394,2294.15
P,R2,F,C,1,1,L,19542.069,133.411,61.28,211.007,2345.589
P,R1,M,C,1,1,R,17671.02,103.45,54.639,152.94,2121.862
P,R1,F,C,1,2,L,17948.213,123.138,56.573,183.129,2150.91
P,R1,F,C,1,3,L,19403.473,118.402,59.181,160.298,2327.661
P,R2,F,C,1,3,L,19819.262,124.498,68.612,181.075,2377.413
P,R2,F,C,3,3,L,19888.56,132.295,69.299,174.427,2382.058
P,R1,M,C,3,3,L,16839.443,104.468,57.407,157.856,2017.016
P,R2,M,C,3,4,L,17948.213,129.987,66.497,176.344,2150.893
P,R2,M,C,1,2,L,17948.213,126.738,57.689,182.016,2148.83
P,R2,M,C,1,1,L,17948.213,143.312,97.654,186.868,2155.528
P,R1,M,C,2,4,R,17185.933,101.118,55.461,141.666,2056.972
P,R2,M,C,2,5,R,18156.107,122.701,71.483,185.951,2179.697
